reward_id,user_id,reward_type,points_cost,redemption_status,date_redeemed
0a0d1c4c,user_0010,Discount-Cafe,150,redeemed,
4cc2c04c,user_0012,Voucher-Netflix,150,redeemed,2024-07-26
608e8c31,user_0014,GiftCard-200,100,redeemed,2024-09-06
f83583db,user_0018,Voucher-Netflix,200,redeemed,2024-08-10
6204c587,user_0029,GiftCard-200,100,pending,
a873059a,user_0032,Voucher-Netflix,200,pending,
98524838,user_0035,Voucher-Netflix,100,pending,2024-10-13
2fac9130,user_0038,Discount-Cafe,150,redeemed,2024-09-13
b74e3019,user_0039,GiftCard-200,100,redeemed,
aa94721a,user_0044,Health-Consult,150,redeemed,2024-10-25
00125dec,user_0047,GiftCard-200,100,redeemed,2024-09-06
ef561580,user_0048,GiftCard-200,200,redeemed,2024-10-17
0dd413a5,user_0058,GiftCard-200,100,redeemed,2024-08-08
70d1bf93,user_0061,GiftCard-200,150,redeemed,
aaaa09e7,user_0062,Voucher-Netflix,100,redeemed,
e5fa808b,user_0063,Health-Consult,100,redeemed,
261b1e87,user_0065,Health-Consult,200,redeemed,
77499d60,user_0066,Voucher-Netflix,150,redeemed,2024-10-28
5f71def5,user_0070,Health-Consult,200,redeemed,2024-10-12
b621027f,user_0073,Discount-Cafe,150,redeemed,
